iter	Logloss
0	0.6787954564
1	0.665646331
2	0.6534560787
3	0.6413929539
4	0.6294454505
5	0.6179525013
6	0.6068147695
7	0.5962360784
8	0.5872696867
9	0.5790255462
10	0.569713801
11	0.56101386
12	0.5534953824
13	0.5462694406
14	0.5392957826
15	0.5332764325
16	0.5272462333
17	0.521901503
18	0.5174889754
19	0.5124114512
20	0.5078532887
21	0.5030562046
22	0.4987271655
23	0.4953195056
24	0.4920528849
25	0.488423051
26	0.4854897712
27	0.4821177374
28	0.4787084384
29	0.475745567
30	0.4736741431
31	0.4710134354
32	0.4689316606
33	0.4664465799
34	0.4639341943
35	0.4613203731
36	0.4599040616
37	0.4576764421
38	0.4556767864
39	0.4543483646
40	0.4526642733
41	0.4509397971
42	0.4492692673
43	0.4479459609
44	0.4465954876
45	0.444958263
46	0.443548406
47	0.4422448026
48	0.4409204846
49	0.43992829
50	0.4393461179
51	0.4382627033
52	0.4374879688
53	0.4364548323
54	0.4357604707
55	0.4346870804
56	0.4336775416
57	0.4328340227
58	0.4322229834
59	0.4318903406
60	0.4311225558
61	0.4306754516
62	0.4301079315
63	0.4295478359
64	0.4288702784
65	0.4281232751
66	0.4273335493
67	0.4267834576
68	0.4259296347
69	0.425390171
70	0.4248274011
71	0.4240844168
72	0.4235838844
73	0.4229336665
74	0.4222648287
75	0.4218592875
76	0.4214344449
77	0.4209514843
78	0.4208537031
79	0.4206387608
80	0.4202179011
81	0.4197486639
82	0.4195593155
83	0.419031389
84	0.4186259726
85	0.4185002366
86	0.4181369839
87	0.4178359717
88	0.4175247066
89	0.4169740905
90	0.4167848211
91	0.4164071844
92	0.4161746593
93	0.4157582562
94	0.4154534826
95	0.4153401813
96	0.4150089869
97	0.4147984337
98	0.4145488683
99	0.4140080293
100	0.4138862948
101	0.4136017255
102	0.4132897957
103	0.4130967231
104	0.4127491707
105	0.4125445118
106	0.4122550721
107	0.412141065
108	0.4118478532
109	0.4115412699
110	0.4113829884
111	0.4110986234
112	0.4108473211
113	0.4104844466
114	0.4102965267
115	0.410206117
116	0.4098497559
117	0.4097817971
118	0.4095726815
119	0.4094009455
120	0.4092757367
121	0.4091475125
122	0.4090023964
123	0.4088543906
124	0.4088375444
125	0.4086892767
126	0.4086439243
127	0.4085100065
128	0.4081784888
129	0.4080405155
130	0.4080273646
131	0.4079578442
132	0.4076697062
133	0.4075280853
134	0.4072655588
135	0.4072036522
136	0.407125545
137	0.4069665266
138	0.4067983329
139	0.4066731059
140	0.406567699
141	0.4063823152
142	0.4062306475
143	0.406153836
144	0.4060535273
145	0.4060416147
146	0.4059340737
147	0.4058252047
148	0.4056180745
149	0.4054385188
150	0.4054121033
151	0.4054091995
152	0.4052730113
153	0.4051245058
154	0.4049728794
155	0.404718297
156	0.4046024751
157	0.4044756867
158	0.4042726796
159	0.4040293684
160	0.4038713666
161	0.4037210505
162	0.4035699749
163	0.4033882751
164	0.4031898065
165	0.4031326317
166	0.4030444861
167	0.4029122577
168	0.4026542259
169	0.4024832841
170	0.4022560079
171	0.4021438422
172	0.4018200332
173	0.4018182033
174	0.4017326376
175	0.4016766309
176	0.4016067689
177	0.4014823066
178	0.4013150759
179	0.4011095134
180	0.4009677752
181	0.4008593861
182	0.4006718272
183	0.4004945544
184	0.4004930576
185	0.4004894626
